experiment,plate,truncation,n_timepoints,run_hours,activity_window_h,late_window_start_h,strain,strain_source,well_columns,galactose_percent,n_wells,naive_rfu_per_od,corrected_activity,mu_late
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,No-LacI,notebook,10-12,0.9,3,1860.5868287737042,16.97664813596663,0.014466974664862955
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,No-LacI,notebook,10-12,1.2,3,1547.3204532777736,43.1845820429693,0.027114730649426762
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,No-LacI,notebook,10-12,1.5,3,1229.0175461985154,48.63629794826323,0.03660561759100855
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,No-LacI,notebook,10-12,1.8,3,1186.7550518264406,78.8887540602177,0.04615372592352077
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,AFL,notebook,1-3,0.0,3,133.3250354066973,-0.8128898476086833,0.0027926266677431658
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,AFL,notebook,1-3,0.3,3,126.35682382762569,-0.047033871757015754,0.004969666817058919
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,AFL,notebook,1-3,0.6,3,119.85587520481393,0.7317321440141007,0.009689463821892591
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,AFL,notebook,1-3,0.9,3,109.45533780359881,-0.2529877753165623,0.01964480888834831
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,AFL,notebook,1-3,1.2,3,92.57119497952199,2.0606909664529307,0.033495453615616406
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,AFL,notebook,1-3,1.5,3,84.146235969339,7.124130074996155,0.041935601831997626
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,AFL,notebook,1-3,1.8,3,138.57886678571165,13.53346417666229,0.05300312005576297
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,Control,notebook,4-6,0.0,3,261.34797810058666,-7.014749101918277,0.011562543680384103
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,Control,notebook,4-6,0.3,3,216.5080406109279,-4.691696251107325,0.004992130431568049
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,Control,notebook,4-6,0.6,3,198.46825026297483,-0.2059895284209611,0.008136894058750585
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,Control,notebook,4-6,0.9,3,177.14235147901118,3.4375669552660977,0.016241527167665814
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,Control,notebook,4-6,1.2,3,150.58610457284706,4.492765583220874,0.029252839512592294
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,Control,notebook,4-6,1.5,3,136.43218433208926,10.91485181906605,0.04275901729327138
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,Control,notebook,4-6,1.8,3,185.10266423727106,21.450374653913695,0.05970378785875254
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,No-Gal,notebook,7-9,0.0,3,3211.0936979267335,-127.2100651505835,0.003415077868069414
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,No-Gal,notebook,7-9,0.3,3,2580.698033426403,-55.23752654771733,0.003138734544212468
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,No-Gal,notebook,7-9,0.6,3,2468.427070696553,-8.990235678550176,0.006317213021896945
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,No-Gal,notebook,7-9,0.9,3,2326.60959567381,39.45300869652967,0.01406301429878058
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,No-Gal,notebook,7-9,1.2,3,2095.406190295542,67.51093440071868,0.022016242011065525
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,No-Gal,notebook,7-9,1.5,3,1674.5518829149023,115.14175381644172,0.040669748656707014
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,No-Gal,notebook,7-9,1.8,3,1867.4770611379452,218.3009659545212,0.05288978869594111
