check,expected,actual,status,detail
number claimed in docs/FINDINGS.md:230 = 1.42 (outputs/late_window_sensitivity.csv[fold]),1.42,1.41602,PASS,outputs/late_window_sensitivity.csv[fold] where construct=UPRE2; stressor=DTT; dose_mM=0.5; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:230 = 1.14 (outputs/late_window_sensitivity.csv[low]),1.14,1.13795,PASS,outputs/late_window_sensitivity.csv[low] where construct=UPRE2; stressor=DTT; dose_mM=0.5; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:230 = 1.64 (outputs/late_window_sensitivity.csv[high]),1.64,1.63718,PASS,outputs/late_window_sensitivity.csv[high] where construct=UPRE2; stressor=DTT; dose_mM=0.5; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:231 = 1.37 (outputs/late_window_sensitivity.csv[fold]),1.37,1.3712,PASS,outputs/late_window_sensitivity.csv[fold] where construct=AlteredYap1; stressor=H2O2; dose_mM=0.5; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:231 = 1.06 (outputs/late_window_sensitivity.csv[low]),1.06,1.05826,PASS,outputs/late_window_sensitivity.csv[low] where construct=AlteredYap1; stressor=H2O2; dose_mM=0.5; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:231 = 1.70 (outputs/late_window_sensitivity.csv[high]),1.70,1.7013,PASS,outputs/late_window_sensitivity.csv[high] where construct=AlteredYap1; stressor=H2O2; dose_mM=0.5; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:264 = 0.947 (outputs/fold_multiplicity.csv[statistic]),0.947,0.94652,PASS,outputs/fold_multiplicity.csv[statistic] where construct=UPRE1; measurement=dose_response_permutation (tolerance 0.0005)
number claimed in docs/FINDINGS.md:264 = 0.0002 (outputs/fold_multiplicity.csv[p_holm]),0.0002,0.00019999,PASS,outputs/fold_multiplicity.csv[p_holm] where construct=UPRE1; measurement=dose_response_permutation (tolerance 5e-05)
number claimed in docs/FINDINGS.md:265 = 0.917 (outputs/fold_multiplicity.csv[statistic]),0.917,0.916515,PASS,outputs/fold_multiplicity.csv[statistic] where construct=UPRE2; measurement=dose_response_permutation (tolerance 0.0005)
number claimed in docs/FINDINGS.md:265 = 0.0002 (outputs/fold_multiplicity.csv[p_holm]),0.0002,0.00019999,PASS,outputs/fold_multiplicity.csv[p_holm] where construct=UPRE2; measurement=dose_response_permutation (tolerance 5e-05)
number claimed in docs/FINDINGS.md:266 = 0.469 (outputs/fold_multiplicity.csv[statistic]),0.469,0.469168,PASS,outputs/fold_multiplicity.csv[statistic] where construct=NativeYap1; measurement=dose_response_permutation (tolerance 0.0005)
number claimed in docs/FINDINGS.md:266 = 0.0010 (outputs/fold_multiplicity.csv[p_holm]),0.0010,0.00099995,PASS,outputs/fold_multiplicity.csv[p_holm] where construct=NativeYap1; measurement=dose_response_permutation (tolerance 5e-05)
number claimed in docs/FINDINGS.md:267 = 0.434 (outputs/fold_multiplicity.csv[statistic]),0.434,0.433708,PASS,outputs/fold_multiplicity.csv[statistic] where construct=AlteredYap1; measurement=dose_response_permutation (tolerance 0.0005)
number claimed in docs/FINDINGS.md:267 = 0.0040 (outputs/fold_multiplicity.csv[p_holm]),0.0040,0.0039998,PASS,outputs/fold_multiplicity.csv[p_holm] where construct=AlteredYap1; measurement=dose_response_permutation (tolerance 5e-05)
number claimed in docs/FINDINGS.md:548 = 0.993 (outputs/power_analysis.csv[collinearity]),0.993,0.993244,PASS,outputs/power_analysis.csv[collinearity] where design=dose only (as run); question=attribute; fold=1.2 (tolerance 0.0005)
number claimed in docs/FINDINGS.md:548 = 1 (outputs/power_analysis.csv[power_n6]),1,0.833333,PASS,outputs/power_analysis.csv[power_n6] where design=dose only (as run); question=attribute; fold=1.2 (tolerance 0.5)
number claimed in docs/FINDINGS.md:548 = 5 (outputs/power_analysis.csv[power_n6]),5,5,PASS,outputs/power_analysis.csv[power_n6] where design=dose only (as run); question=attribute; fold=1.5 (tolerance 0.5)
number claimed in docs/FINDINGS.md:548 = 44 (outputs/power_analysis.csv[power_n6]),44,44.1667,PASS,outputs/power_analysis.csv[power_n6] where design=dose only (as run); question=attribute; fold=2.0 (tolerance 0.5)
number claimed in docs/FINDINGS.md:548 = 96 (outputs/power_analysis.csv[power_n6]),96,95.8333,PASS,outputs/power_analysis.csv[power_n6] where design=dose only (as run); question=attribute; fold=3.0 (tolerance 0.5)
number claimed in docs/FINDINGS.md:550 = 0.507 (outputs/power_analysis.csv[collinearity]),0.507,0.50697,PASS,outputs/power_analysis.csv[collinearity] where design=dose x 3 nutrients; question=attribute; fold=1.2 (tolerance 0.0005)
number claimed in docs/FINDINGS.md:550 = 98 (outputs/power_analysis.csv[power_n6]),98,98.3333,PASS,outputs/power_analysis.csv[power_n6] where design=dose x 3 nutrients; question=attribute; fold=1.2 (tolerance 0.5)
number claimed in docs/FINDINGS.md:567 = 0.052 (outputs/power_analysis.csv[well_cv]),0.052,0.052,PASS,outputs/power_analysis.csv[well_cv] where design=dose only (as run); question=attribute; fold=1.5 (tolerance 0.0005)
number claimed in docs/FINDINGS.md:1228 = 1.28 (outputs/late_window_sensitivity.csv[naive_fold]),1.28,1.27901,PASS,outputs/late_window_sensitivity.csv[naive_fold] where construct=NativeYap1; stressor=H2O2; dose_mM=0.1; late_fraction=0.75 (tolerance 0.005)
