construct	stressor	dose_mM	replicate	od600_mean	od600_half_sd	rfu_mean	rfu_half_sd	per_cell	per_cell_half_sd
UPRE1	H2O2	0.1	3	0.4426666666666666	0.02503774927761864	2196.6666666666665	146.0190246356808	4950.219234956506	54.90203847628652
UPRE1	H2O2	0.2	3	0.36400000000000005	0.018832595855767298	1914.3333333333333	133.86954678176645	5240.731751168644	98.53191430300667
UPRE1	H2O2	0.5	3	0.3256666666666667	0.004288226776756206	1769.0	54.10329626433741	5380.340709903593	239.27749780893964
UPRE1	H2O2	1.0	3	0.15166666666666664	0.01150603706272883	592.0	71.207443431147	3850.348040265582	193.70070038571544
UPRE1	H2O2	2.0	3	0.13366666666666668	0.010143416036468567	217.66666666666666	6.276056794587577	1655.1918306472478	88.23638575859454
UPRE1	H2O2	4.0	3	0.15133333333333335	0.008339997335464453	227.33333333333334	7.6412622575651	1510.42921686747	39.568965043121345
UPRE2	H2O2	0.0	3	0.5163333333333334	0.005169354139756946	2240.0	31.32890039564108	4337.676389326033	21.08199791297795
UPRE2	H2O2	0.1	3	0.4223333333333333	0.016544552644971164	1842.3333333333333	85.55342710195126	4357.77126272595	38.61439716021204
UPRE2	H2O2	0.2	3	0.3496666666666666	0.005201495511442403	1530.6666666666667	13.912424503139471	4379.359432827701	36.6853122585588
UPRE2	H2O2	0.5	3	0.3426666666666667	0.008209073570683163	1528.3333333333333	25.698032782469728	4463.171522197753	33.17976383285421
UPRE2	H2O2	1.0	3	0.2263333333333333	0.008269757486703519	998.6666666666666	45.1226723006911	4411.491854865349	106.20314864456627
UPRE2	H2O2	2.0	3	0.13833333333333334	0.004552166761249219	240.33333333333334	3.0641293851417055	1745.3007504504985	65.0108997880595
UPRE2	H2O2	4.0	3	0.13833333333333334	0.0018408935028645392	227.66666666666666	1.247219128924647	1647.123155883701	26.377266673721348
NativeYap1	DTT	0.0	3	0.49866666666666665	0.0036817870057290905	1636.3333333333333	5.54276304943863	3281.8339402927472	14.880299250533026
NativeYap1	DTT	0.1	3	0.4626666666666666	0.005436502143433358	1672.3333333333333	38.34565019515106	3612.6502458519485	41.53864071118926
NativeYap1	DTT	0.2	3	0.4656666666666667	0.010200762498732899	1648.6666666666667	47.11039045570403	3538.4030162978925	23.806174483219408
NativeYap1	DTT	0.5	3	0.47533333333333333	0.009533566430716725	1751.6666666666667	36.40589085421326	3685.3151135005974	25.09484927801341
NativeYap1	DTT	1.0	3	0.47333333333333333	0.015189543186752598	1827.0	64.56392181396666	3858.297364383183	12.387857211576181
NativeYap1	DTT	2.0	3	0.3423333333333333	0.008605553762283717	1410.6666666666667	24.27733282073813	4124.641156107666	45.865689610795016
NativeYap1	DTT	5.0	3	0.30466666666666664	0.0051854497287013536	1169.6666666666667	10.249661241014532	3841.8140288829945	43.243573887325894
AlteredYap1	DTT	0.0	3	0.42733333333333334	0.005906681715556456	1365.6666666666667	19.07150288315586	3195.8234037181405	9.934229226417978
AlteredYap1	DTT	0.1	3	0.43333333333333335	0.003399346342395193	1434.6666666666667	27.523727137790686	3309.884809668434	43.17491011688889
AlteredYap1	DTT	0.2	3	0.4613333333333333	0.01322455628325158	1562.0	56.39592183837409	3383.5549861594604	42.6609035877971
AlteredYap1	DTT	0.5	3	0.4603333333333333	0.0030641293851417085	1514.0	13.490737563232042	3290.280577150718	51.157188640552505
AlteredYap1	DTT	1.0	3	0.478	0.004636809247747856	1670.0	16.87206764645835	3493.8592290668407	18.424352515054277
AlteredYap1	DTT	2.0	3	0.3403333333333333	0.021143688314850917	1189.0	15.269795894728476	3533.7795389945845	161.9241661687712
AlteredYap1	DTT	5.0	3	0.32033333333333336	0.030860798578275332	990.3333333333334	16.280526882000952	3188.099147054371	253.40327660746604
